Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2019,Public Works,Power Inn Rd Md 2003-01,Labor and Supply Offset,8500,E,Other Governmental Funds,3254
2019,Finance,Franklin Boulevard PBID,Labor and Supply Offset,1604,E,Other Governmental Funds,3255
2019,Human Resources,Fleet Management Fund,Labor and Supply Offset,59614,E,Internal Service Funds,3256
2019,Community Development,General Fund,City Property,758534,E,General Fund,3257
2019,Public Works,Railyards Maint CFD No 2014-04,Labor and Supply Offset,99542,E,Other Governmental Funds,3258
2019,Finance,Franklin Boulevard PBID,"Charges, Fees, and Services",148046,R,Other Governmental Funds,3259
2019,Human Resources,Interdepartmental Service Fund,Labor and Supply Offset,1280301,E,Other Governmental Funds,3260
2019,Community Development,General Fund,Employee Services,30052069,E,General Fund,3261
2019,Public Works,SacMaintCFD2014-04 Annex Areas,Labor and Supply Offset,33500,E,Other Governmental Funds,3262
2019,Finance,Greater Broadway PBID,"Charges, Fees, and Services",291140,R,Other Governmental Funds,3263
2019,Finance,Handle BID No 2011-04,"Charges, Fees, and Services",200000,R,Other Governmental Funds,3264
2019,Finance,Laguna Creek Maint Dist,"Charges, Fees, and Services",188739,R,Other Governmental Funds,3265
2019,Finance,Landscaping and Lighting,"Charges, Fees, and Services",16813819,R,Other Governmental Funds,3266
2019,Finance,Mack Road PBID,"Charges, Fees, and Services",669109,R,Other Governmental Funds,3267
2019,Finance,Major Street Construction Fund,Taxes,3000000,R,Other Governmental Funds,3268
2019,Finance,Midtown Sacramento PBID,"Charges, Fees, and Services",1569672,R,Other Governmental Funds,3269
2019,Finance,N Nat Lndscp 99-02,"Charges, Fees, and Services",372920,R,Other Governmental Funds,3270
2019,Finance,N Natomas Lands CFD 3,"Charges, Fees, and Services",2194896,R,Other Governmental Funds,3271
2019,Finance,N Natomas Transp Mgmt Assoc,"Charges, Fees, and Services",1319317,R,Other Governmental Funds,3272
2019,Finance,Neighborhood Lighting Dist,"Charges, Fees, and Services",45081,R,Other Governmental Funds,3273
2019,Finance,Neighborhood Park Maint CFD,"Charges, Fees, and Services",1430000,R,Other Governmental Funds,3274
2019,Finance,Neighborhood Water Quality Dist,"Charges, Fees, and Services",63329,R,Other Governmental Funds,3275
2019,Finance,Northside Subdiv Maint Dist,"Charges, Fees, and Services",7840,R,Other Governmental Funds,3276
2019,Finance,NW Land Park CFD 2013-02,"Charges, Fees, and Services",31683,R,Other Governmental Funds,3277
