Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2016,Finance,Midtown Sacramento PBID,"Charges, Fees, and Services",663480,R,Other Governmental Funds,1732
2016,Parks and Recreation,Quimby Act Fund,Other Services and Supplies,10000,E,Other Governmental Funds,1733
2016,Finance,N Nat Lndscp 99-02,"Charges, Fees, and Services",356733,R,Other Governmental Funds,1734
2016,Parks and Recreation,Railyards Maint CFD No 2014-04,Labor and Supply Offset,5000,E,Other Governmental Funds,1735
2016,Finance,N Natomas Lands CFD 3,"Charges, Fees, and Services",1944498,R,Other Governmental Funds,1736
2016,Finance,N Natomas Transp Mgmt Assoc,"Charges, Fees, and Services",1210774,R,Other Governmental Funds,1737
2016,Finance,Neighborhood Lighting Dist,"Charges, Fees, and Services",40931,R,Other Governmental Funds,1738
2016,Finance,Neighborhood Park Maint CFD,"Charges, Fees, and Services",1163951,R,Other Governmental Funds,1739
2016,Finance,Neighborhood Water Quality Dist,"Charges, Fees, and Services",55156,R,Other Governmental Funds,1740
2016,Finance,Northside Subdiv Maint Dist,"Charges, Fees, and Services",5040,R,Other Governmental Funds,1741
2016,Finance,Oak Park PBID,"Charges, Fees, and Services",234852,R,Other Governmental Funds,1742
2016,Finance,Old Sacramento PBID,"Charges, Fees, and Services",175000,R,Other Governmental Funds,1743
2016,Finance,Old Sacto Maint Dist,"Charges, Fees, and Services",70060,R,Other Governmental Funds,1744
2016,Finance,Power Inn Area Prop & Business,"Charges, Fees, and Services",498267,R,Other Governmental Funds,1745
2016,Finance,Power Inn Rd Md 2003-01,"Charges, Fees, and Services",11294,R,Other Governmental Funds,1746
2016,Finance,Railyards Maint CFD No 2014-04,"Charges, Fees, and Services",50000,R,Other Governmental Funds,1747
2016,Finance,Stockton Blvd BIA,"Charges, Fees, and Services",46520,R,Other Governmental Funds,1748
2016,Finance,Stockton Blvd PBID,"Charges, Fees, and Services",312262,R,Other Governmental Funds,1749
2016,Finance,Subdiv Lndscpng Maint Dist,"Charges, Fees, and Services",250036,R,Other Governmental Funds,1750
2016,Finance,Sutter Business Imprvmt Area,"Charges, Fees, and Services",150000,R,Other Governmental Funds,1751
2016,Finance,The River District PBID,"Charges, Fees, and Services",450166,R,Other Governmental Funds,1752
2016,Finance,Township 9 CFD No. 2012-06,"Charges, Fees, and Services",30776,R,Other Governmental Funds,1753
2016,Finance,Transportation Development,Intergovernmental,306000,R,Other Governmental Funds,1754
2016,Finance,Village Garden N.-Mtce Dist #1,"Charges, Fees, and Services",29746,R,Other Governmental Funds,1755
2016,Finance,Willowcreek Assmnt Md,"Charges, Fees, and Services",31955,R,Other Governmental Funds,1756
2016,Finance,Willowcreek Lndscpng CFD,"Charges, Fees, and Services",99391,R,Other Governmental Funds,1757
2016,Fire,General Fund,City Property,1492468,E,General Fund,1758
2016,Fire,General Fund,Employee Services,102460750,E,General Fund,1759
2016,Fire,General Fund,Labor and Supply Offset,-12784261,E,General Fund,1760
2016,Fire,General Fund,Other Services and Supplies,11752681,E,General Fund,1761
2016,Fire,General Fund,Transfers,272360,E,General Fund,1762
2016,Fire,Risk Mgmt Fund,Labor and Supply Offset,500000,E,Risk Management,1763
2016,Fire,General Fund,"Charges, Fees, and Services",18896090,R,General Fund,1764
2016,Fire,General Fund,Intergovernmental,5290000,R,General Fund,1765
2016,Fire,General Fund,Licenses and Permits,514181,R,General Fund,1766
2016,Human Resources,Recycling and Solid Waste,Labor and Supply Offset,96901,E,Enterprise Funds,1767
2016,Human Resources,Storm Drainage Fund,Labor and Supply Offset,41706,E,Enterprise Funds,1768
2016,Human Resources,Wastewater Fund,Labor and Supply Offset,17153,E,Enterprise Funds,1769
2016,Human Resources,Water Fund,Labor and Supply Offset,53253,E,Enterprise Funds,1770
2016,Human Resources,General Fund,City Property,5000,E,General Fund,1771
2016,Human Resources,General Fund,Employee Services,3257707,E,General Fund,1772
2016,Human Resources,General Fund,Labor and Supply Offset,-1271133,E,General Fund,1773
2016,Convention and Cultural Services,Zoo,"Charges, Fees, and Services",50000,R,Other Governmental Funds,1774
2016,Citywide and Community Support,Sac Tourism Marketing District,"Charges, Fees, and Services",5180000,R,Other Governmental Funds,1775
2016,Parks and Recreation,Special Recreation,Labor and Supply Offset,2385064,E,Other Governmental Funds,1776
2016,Citywide and Community Support,Worker's Compensation Fund,"Interest, Rents, and Concessions",1000000,R,Risk Management,1777
2016,Parks and Recreation,Special Recreation,Operating Transfers,0,E,Other Governmental Funds,1778
2016,Parks and Recreation,START Fund,Employee Services,5114625,E,Other Governmental Funds,1779
2016,Parks and Recreation,START Fund,Labor and Supply Offset,-915650,E,Other Governmental Funds,1780
2016,Parks and Recreation,START Fund,Operating Transfers,-552702,E,Other Governmental Funds,1781
2016,Parks and Recreation,START Fund,Other Services and Supplies,546821,E,Other Governmental Funds,1782
2016,Parks and Recreation,START Fund,Transfers,40000,E,Other Governmental Funds,1783
2016,Parks and Recreation,General Fund,"Charges, Fees, and Services",835913,R,General Fund,1784
2016,Parks and Recreation,General Fund,Intergovernmental,202946,R,General Fund,1785
2016,Parks and Recreation,General Fund,Licenses and Permits,240000,R,General Fund,1786
2016,Parks and Recreation,4th R Program,"Charges, Fees, and Services",5291345,R,Other Governmental Funds,1787
